Date,Open,High,Low,Close,Adj Close,Volume
1997-01-22,27.5,30.0,26.25,30.0,28.403446,15820
1997-01-23,30.0,30.0,27.5,28.125,26.628231,18980
1997-01-24,27.5,30.0,27.5,27.5,26.036493,6100
1997-01-27,27.5,30.0,27.5,28.75,27.219971,5440
1997-01-28,27.5,28.75,26.25,27.5,26.036493,19160
1997-01-29,27.5,27.5,26.25,26.25,24.853016,8380
1997-01-30,26.25,26.25,25.625,25.625,24.261278,2260
1997-01-31,25.625,27.5,25.625,26.25,24.853016,5460
1997-02-03,26.25,27.5,26.25,26.25,24.853016,4300
1997-02-04,27.5,27.5,26.25,26.25,24.853016,5020
1997-02-05,26.25,26.25,25.625,25.625,24.261278,2400
1997-02-06,25.625,27.5,25.625,27.5,26.036493,3820
1997-02-07,25.625,26.25,25.0,25.0,23.669538,5840
1997-02-10,25.0,26.25,25.0,25.0,23.669538,11800
1997-02-11,25.0,26.25,25.0,26.25,24.853016,4940
1997-02-12,25.0,25.0,25.0,25.0,23.669538,700
1997-02-13,25.0,25.0,25.0,25.0,23.669538,5360
1997-02-14,25.0,27.5,25.0,27.5,26.036493,2860
1997-02-18,25.0,26.25,25.0,25.0,23.669538,3480
1997-02-19,25.0,26.25,25.0,25.0,23.669538,4200
1997-02-20,25.0,25.0,23.75,23.75,22.486061,16440
1997-02-21,23.75,25.0,23.75,24.375,23.077801,3240
1997-02-24,25.0,27.5,25.0,25.0,23.669538,11020
1997-02-25,25.0,26.875,24.375,24.375,23.077801,5940
1997-02-26,24.375,25.0,24.375,24.375,23.077801,860
1997-02-27,24.375,24.375,24.375,24.375,23.077801,1240
1997-02-28,24.375,24.375,24.375,24.375,23.077801,6300
1997-03-03,24.375,24.375,23.75,23.75,22.486061,2300
1997-03-04,23.75,25.0,23.125,23.125,21.894323,3340
1997-03-05,23.125,23.125,23.125,23.125,21.894323,1400
1997-03-06,23.125,23.125,21.875,21.875,20.710848,4260
1997-03-07,21.25,22.5,20.625,21.25,20.119108,18760
1997-03-10,21.25,21.25,21.25,21.25,20.119108,800
1997-03-11,21.5625,21.5625,21.25,21.25,20.119108,500
1997-03-12,21.25,21.25,21.25,21.25,20.119108,320
1997-03-13,21.25,21.25,21.25,21.25,20.119108,2640
1997-03-14,21.25,21.25,21.25,21.25,20.119108,600
1997-03-17,21.25,21.25,21.25,21.25,20.119108,1000
1997-03-18,21.25,21.25,21.25,21.25,20.119108,1000
1997-03-19,21.25,21.875,20.625,20.625,19.52737,2600
1997-03-20,20.625,20.625,19.375,19.375,18.343893,4420
1997-03-21,19.375,19.375,19.375,19.375,18.343893,1140
1997-03-24,19.375,19.6875,18.125,18.75,17.752153,5640
1997-03-25,18.75,19.6875,18.75,18.75,17.752153,1220
1997-03-26,18.75,19.6875,18.75,18.75,17.752153,3280
1997-03-27,18.75,18.75,18.75,18.75,17.752153,200
1997-03-31,18.75,18.75,18.75,18.75,17.752153,60
1997-04-01,18.75,18.75,17.5,17.5,16.568676,840
1997-04-02,17.5,17.5,17.5,17.5,16.568676,1200
1997-04-03,17.5,17.5,17.5,17.5,16.568676,120
1997-04-04,17.5,19.375,16.25,16.25,15.385201,2320
1997-04-07,16.25,16.25,15.0,15.0,14.201723,1760
1997-04-08,15.0,15.9375,15.0,15.625,14.793462,3280
1997-04-09,15.625,15.625,15.625,15.625,14.793462,80
1997-04-10,15.625,15.625,15.0,15.0,14.201723,1860
1997-04-11,15.0,15.0,15.0,15.0,14.201723,220
1997-04-14,15.0,15.0,15.0,15.0,14.201723,540
1997-04-15,15.0,16.09375,15.0,16.09375,15.237266,420
1997-04-16,16.09375,16.09375,16.09375,16.09375,15.237266,0
1997-04-17,15.0,15.0,14.375,14.375,13.609985,580
1997-04-18,14.375,14.375,14.375,14.375,13.609985,200
1997-04-21,14.375,14.375,14.375,14.375,13.609985,200
1997-04-22,14.375,14.375,11.875,11.875,11.243031,5400
1997-04-23,11.875,11.875,11.25,11.875,11.243031,4980
1997-04-24,12.8125,13.125,12.5,12.8125,12.130639,4520
1997-04-25,12.8125,12.8125,12.8125,12.8125,12.130639,0
1997-04-28,13.125,13.75,12.5,13.75,13.018247,8120
1997-04-29,13.75,13.75,13.75,13.75,13.018247,0
1997-04-30,13.75,14.375,13.75,14.375,13.609985,1400
1997-05-01,13.75,14.375,13.75,14.375,13.609985,340
1997-05-02,13.75,13.75,13.75,13.75,13.018247,140
1997-05-05,13.75,14.375,13.75,14.0625,13.314116,1580
1997-05-06,14.0625,14.0625,14.0625,14.0625,13.314116,0
1997-05-07,14.0625,14.0625,14.0625,14.0625,13.314116,0
1997-05-08,14.0625,14.0625,14.0625,14.0625,13.314116,1200
1997-05-09,14.0625,14.0625,13.75,13.75,13.018247,380
1997-05-12,13.75,13.75,13.125,13.125,12.426508,2100
1997-05-13,13.125,13.125,13.125,13.125,12.426508,0
1997-05-14,13.125,13.125,13.125,13.125,12.426508,0
1997-05-15,13.4375,14.375,13.4375,14.375,13.609985,8000
1997-05-16,14.375,14.375,14.375,14.375,13.609985,0
1997-05-19,13.75,13.75,13.75,13.75,13.018247,100
1997-05-20,13.75,13.75,13.75,13.75,13.018247,60
1997-05-21,13.75,13.75,13.75,13.75,13.018247,0
1997-05-22,13.75,13.75,13.75,13.75,13.018247,0
1997-05-23,13.75,13.75,13.75,13.75,13.018247,40
1997-05-27,16.25,16.25,16.25,16.25,15.385201,40
1997-05-28,13.75,13.75,13.75,13.75,13.018247,700
1997-05-29,13.75,14.375,13.75,14.375,13.609985,8840
1997-05-30,14.375,15.0,14.375,14.375,13.609985,2600
1997-06-02,14.375,14.6875,14.375,14.6875,13.905854,2400
